county_id,county_desc,election_dt,contest_id,contest_title,contest_party_lbl,contest_vote_for,is_admin_juris,precinct_code,precinct_name,result_type_lbl,result_type_des,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,group_vote_ct_adj
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1315,For,NON,6,,T,Election Day: Transfer,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ONE STOP,,STD,<NORMAL>,1315,For,NON,6,,T,Election Day: Transfer,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,STD,<NORMAL>,1315,For,NON,6,,T,Election Day: Transfer,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,OVT,OVER VOTES,0,OVER VOTE,,2,,V,Election Day,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ONE STOP,,OVT,OVER VOTES,0,OVER VOTE,,2,,V,Election Day,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,OVT,OVER VOTES,0,OVER VOTE,,2,,V,Election Day,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,OVT,OVER VOTES,0,OVER VOTE,,3,,M,Absentee: By-Mail,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ONE STOP,,OVT,OVER VOTES,0,OVER VOTE,,3,,M,Absentee: By-Mail,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,OVT,OVER VOTES,0,OVER VOTE,,3,,M,Absentee: By-Mail,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,OVT,OVER VOTES,0,OVER VOTE,,4,,O,Absentee: One-Stop,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ONE STOP,,OVT,OVER VOTES,0,OVER VOTE,,4,,O,Absentee: One-Stop,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,OVT,OVER VOTES,0,OVER VOTE,,4,,O,Absentee: One-Stop,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,OVT,OVER VOTES,0,OVER VOTE,,5,,P,Provisional,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ONE STOP,,OVT,OVER VOTES,0,OVER VOTE,,5,,P,Provisional,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,OVT,OVER VOTES,0,OVER VOTE,,5,,P,Provisional,1
19,CHATHAM,2018-11-06,711,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE BY MAIL,,OVT,OVER VOTES,0,OVER VOTE,,6,,T,Election Day: Transfer,1
